Likes,Comments,Views
6811,857,7.75376283
928,30,7.356709347
690,35,7.259498016
9451,1094,7.894553675
6653,521,7.922864344
9385,781,7.51765173
2008,289,7.025877557
12835,966,7.884316136
1200,25,7.595762254
5281,178,7.563968348
1036,39,7.0309276
2120,60,7.978609477
1639,110,7.790951626
7455,200,8.331227164
1770,41,7.764790124
10927,1356,7.827974634
285,13,6.863742736
22324,993,8.102260568
22912,845,7.962938448
1528,134,6.818418084
7422,371,7.859223849
3249,158,7.120767155
18879,990,8.089132323
663,96,6.960696719
13183,624,8.199024363
406,91,6.486821718
499,67,6.498855454
7198,425,7.548197756
4319,122,7.274939495
4227,541,7.509009371
3044,79,7.39226952
3803,165,7.292524445
2445,809,7.192457651
992,53,6.68759386
5387,138,7.382483175
15870,942,7.938084372
9743,569,7.751598367
3519,270,7.282601232
6537,433,7.392888422
2107,178,7.258795902
5087,169,7.462092746
2747,56,7.474154923
10741,1035,7.927394195
